ID	mnx_equation	EC	peptideID	reference	is_balanced	is_transport
MNXR119558	1 MNXM5636[MNXD1] <=> 1 MNXM739580[MNXD1]	5.4.99.62	P04982	rheaR:25609	B	
MNXR150194	1 MNXM3548[MNXD1] <=> 1 MNXM732914[MNXD1]	5.4.99.62	P04982	rheaR:25432	B	
MNXR112455	1 MNXM1103718[MNXD1] + 1 MNXM1[MNXD1] + 1 MNXM741317[MNXD1] <=> 1 MNXM11[MNXD1] + 1 MNXM2005[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	rheaR:25690	B	
MNXR113160	1 MNXM1103285[MNXD1] + 1 MNXM1106068[MNXD1] + 1 MNXM1[MNXD1] <=> 1 MNXM731345[MNXD1] + 1 MNXM9[MNXD1]	2.7.7.6 2.7.7.7	P0A7Z4 P28905 P0A800 Q47155 P0AC73 P21189 P03007 P06710 P0ABS8 P28632 P00582 P28630 P10443 P28631 P0A988	rheaR:30387	B	
MNXR118669	1 MNXM1103718[MNXD1] + 1 MNXM145628[MNXD1] + 1 MNXM1[MNXD1] <=> 1 MNXM11[MNXD1] + 1 MNXM728574[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	seedR:rxn44084	B	
MNXR123655	1 MNXM1106068[MNXD1] + 1 MNXM728364[MNXD1] <=> 1 MNXM731345[MNXD1] + 1 MNXM739961[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	rheaR:65712	B	
MNXR131197	1 MNXM1103285[MNXD1] + 1 MNXM1106065[MNXD1] + 1 MNXM1[MNXD1] <=> 1 MNXM731345[MNXD1] + 1 MNXM9[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	sabiorkR:12288	B	
MNXR141529	1 MNXM1103285[MNXD1] + 1 MNXM1106067[MNXD1] + 3 MNXM1[MNXD1] <=> 1 MNXM1108335[MNXD1] + 1 MNXM9[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	sabiorkR:12289	B	
MNXR144933	1 MNXM1101474[MNXD1] + 1 MNXM1106067[MNXD1] + 1 MNXM1[MNXD1] <=> 1 MNXM1104754[MNXD1] + 1 MNXM11[MNXD1]	2.7.7.6 2.7.7.9 2.7.7.1	P0A7Z4 P0AEP3 P0A800 P0AC73 P0ABS8 P0AAB6 P27278	rheaR:14209	B	
MNXR145438	1 MNXM1104314[MNXD1] + 1 MNXM11[MNXD1] <=> 2 MNXM1[MNXD1] + 1 MNXM3[MNXD1] + 1 MNXM729132[MNXD1]	2.7.7.6 6.3.1.2 6.3.1.20	P0A7Z4 P0A9C5 P0A800 P0AC73 P32099 P78061 P0ABS8	biggR:RE1944C	B	
MNXR145439	1 MNXM11[MNXD1] + 1 MNXM732889[MNXD1] <=> 1 MNXM1[MNXD1] + 1 MNXM3[MNXD1] + 1 MNXM729132[MNXD1]	2.7.7.6 6.3.1.2 6.3.1.20	P0A7Z4 P0A9C5 P0A800 P0AC73 P32099 P78061 P0ABS8	rheaR:12913	B	
MNXR145513	1 MNXM1103285[MNXD1] + 1 MNXM1106057[MNXD1] + 1 MNXM1[MNXD1] <=> 1 MNXM1104188[MNXD1] + 1 MNXM9[MNXD1]	2.7.7.6 2.7.7.2	P0A7Z4 P0AG40 P0A800 P0AC73 P0ABS8	rheaR:12905	B	
MNXR146650	1 MNXM1100890[MNXD1] + 1 MNXM11[MNXD1] <=> 1 MNXM1101474[MNXD1] + 1 MNXM1105799[MNXD1] + 1 MNXM1[MNXD1]	2.7.7.6 2.7.7.23 2.7.7.2 2.7.7.8	P0A7Z4 P0ACC7 P0AG40 P0A800 P0AC73 P0ABS8 P05055	rheaR:34363	B	
MNXR147282	1 MNXM1101474[MNXD1] + 1 MNXM1103867[MNXD1] + 1 MNXM1[MNXD1] <=> 1 MNXM1104890[MNXD1] + 1 MNXM11[MNXD1]	2.7.7.6 2.7.7.4	P0A7Z4 P23845 P0A800 P0AC73 P21156 P0ABS8	rheaR:16325	B	
MNXR147326	1 MNXM1101474[MNXD1] + 1 MNXM1[MNXD1] + 1 MNXM4458[MNXD1] <=> 1 MNXM1104370[MNXD1] + 1 MNXM11[MNXD1]	2.7.7.6 2.7.7.1	P0A7Z4 P0A800 P0AC73 P0ABS8 P27278	rheaR:18389	B	
MNXR150041	1 MNXM1103285[MNXD1] + 1 MNXM1108457[MNXD1] <=> 1 MNXM1[MNXD1] + 1 MNXM728364[MNXD1] + 1 MNXM9[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	sabiorkR:12287	B	
MNXR150131	2 MNXM1103553[MNXD1] <=> 2 MNXM11[MNXD1] + 1 MNXM731193[MNXD1]	2.7.7.6 2.7.7.65	P0A7Z4 P0A800 P77302 P31129 P0AC73 P0ABS8 P0AA89 P46139 P0AAP1 P76237 P76330 P76245	rheaR:24898	B	
MNXR152165	1 MNXM1101474[MNXD1] + 1 MNXM1106065[MNXD1] + 1 MNXM1[MNXD1] <=> 1 MNXM1104702[MNXD1] + 1 MNXM11[MNXD1]	2.7.7.6 2.7.7.23 2.7.7.9 2.7.7.2 2.7.7.3	P0A7Z4 P0ACC7 P0AEP3 P0AG40 P0A800 P0A6I6 P0AC73 P0ABS8 P0AAB6	biggR:GALUi	B	
MNXR152166	1 MNXM1101474[MNXD1] + 1 MNXM1106068[MNXD1] + 1 MNXM1[MNXD1] <=> 1 MNXM1104702[MNXD1] + 1 MNXM11[MNXD1]	2.7.7.6 2.7.7.23 2.7.7.9 2.7.7.2	P0A7Z4 P0ACC7 P0AEP3 P0AG40 P0A800 P0AC73 P0ABS8 P0AAB6	rheaR:19889	B	
MNXR153215	1 MNXM1103718[MNXD1] + 1 MNXM1[MNXD1] + 1 MNXM730435[MNXD1] <=> 1 MNXM11[MNXD1] + 1 MNXM730948[MNXD1]	2.7.7.6 2.7.7.60	P0A7Z4 P0A800 P0AC73 P0ABS8 Q46893	rheaR:13429	B	
MNXR181027	1 MNXM1101474[MNXD1] + 1 MNXM1[MNXD1] + 1 MNXM731750[MNXD1] <=> 1 MNXM11[MNXD1] + 1 MNXM165226[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	seedR:rxn35667	B	
MNXR181028	1 MNXM1101474[MNXD1] + 1 MNXM738644[MNXD1] <=> 1 MNXM11[MNXD1] + 1 MNXM1[MNXD1] + 1 MNXM88434[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	seedR:rxn35668	B	
MNXR181029	1 MNXM1101474[MNXD1] + 1 MNXM1[MNXD1] + 1 MNXM739961[MNXD1] <=> 1 MNXM1104754[MNXD1] + 1 MNXM11[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	seedR:rxn35669	B	
MNXR181030	1 MNXM1101258[MNXD1] + 1 MNXM11[MNXD1] <=> 1 MNXM1101474[MNXD1] + 1 MNXM1[MNXD1] + 1 MNXM729920[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	seedR:rxn35670	B	
MNXR189700	1 MNXM1103553[MNXD1] + 1 MNXM1[MNXD1] + 1 MNXM2888[MNXD1] <=> 1 MNXM11[MNXD1] + 1 MNXM2126[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	rheaR:63424	B	
MNXR190513	1 MNXM1101279[MNXD1] + 1 MNXM11[MNXD1] <=> 1 MNXM1103553[MNXD1] + 1 MNXM1104880[MNXD1] + 1 MNXM1[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	rheaR:22712	B	
MNXR192222	1 MNXM1103285[MNXD1] + 1 MNXM1[MNXD1] + 1 MNXM739961[MNXD1] <=> 1 MNXM728364[MNXD1] + 1 MNXM9[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	rheaR:27698	B	
MNXR192223	1 MNXM1104188[MNXD1] + 1 MNXM739961[MNXD1] <=> 1 MNXM1106057[MNXD1] + 1 MNXM728364[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	rheaR:65708	B	
MNXR192326	1 MNXM1101474[MNXD1] + 1 MNXM1105775[MNXD1] + 1 MNXM1[MNXD1] <=> 1 MNXM1108369[MNXD1] + 1 MNXM11[MNXD1]	2.7.7.6 2.7.7.3	P0A7Z4 P0A800 P0A6I6 P0AC73 P0ABS8	keggR:R03077	B	
MNXR192327	1 MNXM1101474[MNXD1] + 1 MNXM1105774[MNXD1] <=> 1 MNXM1108369[MNXD1] + 1 MNXM11[MNXD1] + 1 MNXM1[MNXD1]	2.7.7.6 2.7.7.3	P0A7Z4 P0A800 P0A6I6 P0AC73 P0ABS8	seedR:rxn02208	B	
MNXR194541	1 MNXM1104188[MNXD1] + 1 MNXM1106068[MNXD1] <=> 1 MNXM1106057[MNXD1] + 1 MNXM731345[MNXD1]	2.7.7.6	P0A7Z4 P0A800 P0AC73 P0ABS8	rheaR:66032	B	
MNXR101944	1 MNXM1[MNXD1] + 1 MNXM39[MNXD1] + 1 MNXM902[MNXD1] <=> 1 MNXM2024[MNXD1] + 1 WATER[MNXD1]	3.5.1.1	P0A962 P00805 P37595	rheaR:30843	B	
MNXR101977	1 MNXM216[MNXD1] + 1 WATER[MNXD1] <=> 1 MNXM274[MNXD1] + 1 MNXM729302[MNXD1]	3.5.1.1 3.5.1.19	P0A962 P21369 P00805 P37595	rheaR:14545	B	
MNXR103709	1 MNXM26[MNXD1] + 1 MNXM738804[MNXD1] <=> 1 MNXM731431[MNXD1] + 1 WATER[MNXD1]	3.5.1.1 3.5.1.14	P0A962 P76052 P77357 P00805 P37595	seedR:rxn36656	B	
MNXR104300	1 MNXM25[MNXD1] + 1 MNXM644[MNXD1] <=> 1 MNXM729177[MNXD1] + 1 WATER[MNXD1]	3.5.1.1 3.5.1.18	P0A962 P0AED7 P00805 P37595	rheaR:22608	B	
MNXR105091	1 MNXM13[MNXD1] + 1 MNXM69[MNXD1] + 2 MNXM729302[MNXD1] <=> 2 MNXM1[MNXD1] + 1 MNXM733673[MNXD1] + 1 WATER[MNXD1]	3.5.1.1	P0A962 P00805 P37595	rheaR:19809	B	
MNXR105306	1 MNXM1091725[MNXD1] + 1 WATER[MNXD1] <=> 1 MNXM20[MNXD1] + 1 MNXM729302[MNXD1]	3.5.1.1 1.1.1.3 1.3.5.1 5.1.1.1	P0A962 P00561 P07014 P0AC41 P00562 P0AC47 P29012 P00805 P0A6B4 P37595	rheaR:32963	B	
MNXR106541	1 MNXM1106164[MNXD1] + 1 MNXM26[MNXD1] <=> 1 MNXM1574[MNXD1] + 1 WATER[MNXD1]	3.5.1.1	P0A962 P00805 P37595	keggR:R00458	B	
MNXR106555	1 MNXM1108206[MNXD1] + 1 MNXM26[MNXD1] <=> 1 MNXM2139[MNXD1] + 1 WATER[MNXD1]	3.5.1.1 3.5.1.14	P0A962 P76052 P77357 P00805 P37595	rheaR:59408	B	
MNXR106562	1 MNXM1102432[MNXD1] + 1 WATER[MNXD1] <=> 1 MNXM1108206[MNXD1] + 1 MNXM39[MNXD1]	3.5.1.1	P0A962 P00805 P37595	rheaR:22040	B	
