ID	mnx_equation	EC	peptideID	reference	is_balanced	is_transport
MNXR119558	1 MNXM5636@MNXD1 <=> 1 MNXM739580@MNXD1	5.4.99.62	P04982	rheaR:25609	B	nan
MNXR150194	1 MNXM3548@MNXD1 <=> 1 MNXM732914@MNXD1	5.4.99.62	P04982	rheaR:25432	B	nan
MNXR112455	1 MNXM1103718@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM741317@MNXD1 <=> 1 MNXM11@MNXD1 + 1 MNXM2005@MNXD1	2.7.7.6	P0A7Z4	rheaR:25690	B	nan
MNXR113160	1 MNXM1103285@MNXD1 + 1 MNXM1106068@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM731345@MNXD1 + 1 MNXM9@MNXD1	2.7.7.6	P0A7Z4	rheaR:30387	B	nan
MNXR118669	1 MNXM1103718@MNXD1 + 1 MNXM145628@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM11@MNXD1 + 1 MNXM728574@MNXD1	2.7.7.6	P0A7Z4	seedR:rxn44084	B	nan
MNXR123655	1 MNXM1106068@MNXD1 + 1 MNXM728364@MNXD1 <=> 1 MNXM731345@MNXD1 + 1 MNXM739961@MNXD1	2.7.7.6	P0A7Z4	rheaR:65712	B	nan
MNXR131197	1 MNXM1103285@MNXD1 + 1 MNXM1106065@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM731345@MNXD1 + 1 MNXM9@MNXD1	2.7.7.6	P0A7Z4	sabiorkR:12288	B	nan
MNXR141529	1 MNXM1103285@MNXD1 + 1 MNXM1106067@MNXD1 + 3 MNXM1@MNXD1 <=> 1 MNXM1108335@MNXD1 + 1 MNXM9@MNXD1	2.7.7.6	P0A7Z4	sabiorkR:12289	B	nan
MNXR144933	1 MNXM1101474@MNXD1 + 1 MNXM1106067@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM1104754@MNXD1 + 1 MNXM11@MNXD1	2.7.7.6	P0A7Z4	rheaR:14209	B	nan
MNXR145438	1 MNXM1104314@MNXD1 + 1 MNXM11@MNXD1 <=> 2 MNXM1@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM729132@MNXD1	2.7.7.6	P0A7Z4	biggR:RE1944C	B	nan
MNXR145439	1 MNXM11@MNXD1 + 1 MNXM732889@MNXD1 <=> 1 MNXM1@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM729132@MNXD1	2.7.7.6	P0A7Z4	rheaR:12913	B	nan
MNXR145513	1 MNXM1103285@MNXD1 + 1 MNXM1106057@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM1104188@MNXD1 + 1 MNXM9@MNXD1	2.7.7.6	P0A7Z4	rheaR:12905	B	nan
MNXR146650	1 MNXM1100890@MNXD1 + 1 MNXM11@MNXD1 <=> 1 MNXM1101474@MNXD1 + 1 MNXM1105799@MNXD1 + 1 MNXM1@MNXD1	2.7.7.6	P0A7Z4	rheaR:34363	B	nan
MNXR147282	1 MNXM1101474@MNXD1 + 1 MNXM1103867@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM1104890@MNXD1 + 1 MNXM11@MNXD1	2.7.7.6	P0A7Z4	rheaR:16325	B	nan
MNXR147326	1 MNXM1101474@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM4458@MNXD1 <=> 1 MNXM1104370@MNXD1 + 1 MNXM11@MNXD1	2.7.7.6	P0A7Z4	rheaR:18389	B	nan
MNXR150041	1 MNXM1103285@MNXD1 + 1 MNXM1108457@MNXD1 <=> 1 MNXM1@MNXD1 + 1 MNXM728364@MNXD1 + 1 MNXM9@MNXD1	2.7.7.6	P0A7Z4	sabiorkR:12287	B	nan
MNXR150131	2 MNXM1103553@MNXD1 <=> 2 MNXM11@MNXD1 + 1 MNXM731193@MNXD1	2.7.7.6	P0A7Z4	rheaR:24898	B	nan
MNXR152165	1 MNXM1101474@MNXD1 + 1 MNXM1106065@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM1104702@MNXD1 + 1 MNXM11@MNXD1	2.7.7.6	P0A7Z4	biggR:GALUi	B	nan
MNXR152166	1 MNXM1101474@MNXD1 + 1 MNXM1106068@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM1104702@MNXD1 + 1 MNXM11@MNXD1	2.7.7.6	P0A7Z4	rheaR:19889	B	nan
MNXR153215	1 MNXM1103718@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM730435@MNXD1 <=> 1 MNXM11@MNXD1 + 1 MNXM730948@MNXD1	2.7.7.6	P0A7Z4	rheaR:13429	B	nan
MNXR181027	1 MNXM1101474@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM731750@MNXD1 <=> 1 MNXM11@MNXD1 + 1 MNXM165226@MNXD1	2.7.7.6	P0A7Z4	seedR:rxn35667	B	nan
MNXR181028	1 MNXM1101474@MNXD1 + 1 MNXM738644@MNXD1 <=> 1 MNXM11@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM88434@MNXD1	2.7.7.6	P0A7Z4	seedR:rxn35668	B	nan
MNXR181029	1 MNXM1101474@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM739961@MNXD1 <=> 1 MNXM1104754@MNXD1 + 1 MNXM11@MNXD1	2.7.7.6	P0A7Z4	seedR:rxn35669	B	nan
MNXR181030	1 MNXM1101258@MNXD1 + 1 MNXM11@MNXD1 <=> 1 MNXM1101474@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM729920@MNXD1	2.7.7.6	P0A7Z4	seedR:rxn35670	B	nan
MNXR189700	1 MNXM1103553@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM2888@MNXD1 <=> 1 MNXM11@MNXD1 + 1 MNXM2126@MNXD1	2.7.7.6	P0A7Z4	rheaR:63424	B	nan
MNXR190513	1 MNXM1101279@MNXD1 + 1 MNXM11@MNXD1 <=> 1 MNXM1103553@MNXD1 + 1 MNXM1104880@MNXD1 + 1 MNXM1@MNXD1	2.7.7.6	P0A7Z4	rheaR:22712	B	nan
MNXR192222	1 MNXM1103285@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM739961@MNXD1 <=> 1 MNXM728364@MNXD1 + 1 MNXM9@MNXD1	2.7.7.6	P0A7Z4	rheaR:27698	B	nan
MNXR192223	1 MNXM1104188@MNXD1 + 1 MNXM739961@MNXD1 <=> 1 MNXM1106057@MNXD1 + 1 MNXM728364@MNXD1	2.7.7.6	P0A7Z4	rheaR:65708	B	nan
MNXR192326	1 MNXM1101474@MNXD1 + 1 MNXM1105775@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM1108369@MNXD1 + 1 MNXM11@MNXD1	2.7.7.6	P0A7Z4	keggR:R03077	B	nan
MNXR192327	1 MNXM1101474@MNXD1 + 1 MNXM1105774@MNXD1 <=> 1 MNXM1108369@MNXD1 + 1 MNXM11@MNXD1 + 1 MNXM1@MNXD1	2.7.7.6	P0A7Z4	seedR:rxn02208	B	nan
MNXR194541	1 MNXM1104188@MNXD1 + 1 MNXM1106068@MNXD1 <=> 1 MNXM1106057@MNXD1 + 1 MNXM731345@MNXD1	2.7.7.6	P0A7Z4	rheaR:66032	B	nan
MNXR101944	1 MNXM1@MNXD1 + 1 MNXM39@MNXD1 + 1 MNXM902@MNXD1 <=> 1 MNXM2024@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:30843	B	nan
MNXR101977	1 MNXM216@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM274@MNXD1 + 1 MNXM729302@MNXD1	3.5.1.1	P0A962	rheaR:14545	B	nan
MNXR103709	1 MNXM26@MNXD1 + 1 MNXM738804@MNXD1 <=> 1 MNXM731431@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	seedR:rxn36656	B	nan
MNXR104300	1 MNXM25@MNXD1 + 1 MNXM644@MNXD1 <=> 1 MNXM729177@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:22608	B	nan
MNXR105091	1 MNXM13@MNXD1 + 1 MNXM69@MNXD1 + 2 MNXM729302@MNXD1 <=> 2 MNXM1@MNXD1 + 1 MNXM733673@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:19809	B	nan
MNXR105306	1 MNXM1091725@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM20@MNXD1 + 1 MNXM729302@MNXD1	3.5.1.1	P0A962	rheaR:32963	B	nan
MNXR106541	1 MNXM1106164@MNXD1 + 1 MNXM26@MNXD1 <=> 1 MNXM1574@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	keggR:R00458	B	nan
MNXR106555	1 MNXM1108206@MNXD1 + 1 MNXM26@MNXD1 <=> 1 MNXM2139@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:59408	B	nan
MNXR106562	1 MNXM1102432@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM1108206@MNXD1 + 1 MNXM39@MNXD1	3.5.1.1	P0A962	rheaR:22040	B	nan
MNXR106814	1 MNXM304@MNXD1 + 1 MNXM729302@MNXD1 <=> 1 MNXM736287@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:13081	B	nan
MNXR108709	1 MNXM2603@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM26@MNXD1 + 1 MNXM916@MNXD1	3.5.1.1	P0A962	keggR:R04174	B	nan
MNXR112386	1 MNXM12586@MNXD1 + 1 MNXM26@MNXD1 <=> 1 MNXM9740@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:34031	B	nan
MNXR112392	1 MNXM10351@MNXD1 + 1 MNXM26@MNXD1 <=> 1 MNXM9732@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:34051	B	nan
MNXR112547	1 MNXM26@MNXD1 + 1 MNXM732471@MNXD1 <=> 1 MNXM3314@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:61092	B	nan
MNXR112802	1 MNXM1103734@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM39@MNXD1 <=> 1 MNXM2470@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:27282	B	nan
MNXR113061	1 MNXM3130@MNXD1 + 1 MNXM729302@MNXD1 <=> 1 MNXM4931@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:26542	B	nan
MNXR113062	1 MNXM144@MNXD1 + 1 MNXM729302@MNXD1 <=> 1 MNXM5067@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:26546	B	nan
MNXR113063	1 MNXM6022@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM6023@MNXD1 + 1 MNXM729302@MNXD1	3.5.1.1	P0A962	rheaR:26550	B	nan
MNXR113064	1 MNXM114@MNXD1 + 1 MNXM729302@MNXD1 <=> 1 MNXM4913@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:26510	B	nan
MNXR113093	1 MNXM1@MNXD1 + 1 MNXM8458@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM684@MNXD1 + 1 MNXM729302@MNXD1	3.5.1.1	P0A962	keggR:R09680	B	nan
MNXR113204	1 MNXM26@MNXD1 + 1 MNXM840@MNXD1 <=> 1 MNXM7567@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:40951	B	nan
MNXR114283	1 MNXM166619@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM729277@MNXD1	3.5.1.1	P0A962	keggR:R10978	B	nan
MNXR114284	1 MNXM2137@MNXD1 <=> 1 MNXM729277@MNXD1	3.5.1.1	P0A962	keggR:R10979	B	nan
MNXR114325	1 MNXM1100503@MNXD1 + 1 MNXM741173@MNXD1 <=> 1 MNXM1100921@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:42684	B	nan
MNXR114854	1 MNXM146152@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM1@MNXD1 + 1 MNXM741173@MNXD1 + 1 MNXM741@MNXD1	3.5.1.1	P0A962	rheaR:50684	B	nan
MNXR116848	1 MNXM1106005@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM26@MNXD1 + 1 MNXM5230@MNXD1	3.5.1.1	P0A962	rheaR:27469	B	nan
MNXR117621	1 MNXM1106005@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM26@MNXD1 + 1 MNXM8337@MNXD1	3.5.1.1	P0A962	rheaR:62168	B	nan
MNXR118552	1 MNXM6517@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM6518@MNXD1 + 1 MNXM729302@MNXD1	3.5.1.1	P0A962	rheaR:27574	B	nan
MNXR118553	1 MNXM3130@MNXD1 + 1 MNXM7794@MNXD1 <=> 1 MNXM6559@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:27578	B	nan
MNXR119239	1 MNXM148250@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM6868@MNXD1 + 1 MNXM741173@MNXD1	3.5.1.1	P0A962	seedR:rxn42760	B	nan
MNXR122845	1 MNXM291@MNXD1 + 1 MNXM729302@MNXD1 <=> 1 MNXM3329@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:51512	B	nan
MNXR123359	1 MNXM26@MNXD1 + 1 MNXM97087@MNXD1 <=> 1 MNXM726813@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	rheaR:35083	B	nan
MNXR123499	1 MNXM12306@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM16354@MNXD1 + 1 MNXM727586@MNXD1	3.5.1.1	P0A962	seedR:rxn26582	B	nan
MNXR129390	1 MNXM152246@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM2495@MNXD1 + 1 MNXM729976@MNXD1	3.5.1.1	P0A962	sabiorkR:8121	B	nan
MNXR129398	1 MNXM166203@MNXD1 + 1 MNXM729976@MNXD1 <=> 1 MNXM46059@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	sabiorkR:10054	B	nan
MNXR129399	1 MNXM166663@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM86969@MNXD1 <=> 1 MNXM45946@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	sabiorkR:10055	B	nan
MNXR129406	1 MNXM16613@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM4186@MNXD1 + 1 MNXM86969@MNXD1	3.5.1.1	P0A962	sabiorkR:10063	B	nan
MNXR129555	1 MNXM1@MNXD1 + 1 MNXM25@MNXD1 + 1 MNXM729302@MNXD1 <=> 1 MNXM21908@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	metacycR:RXN-20069	B	nan
MNXR130698	1 MNXM7235@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM729302@MNXD1 + 1 MNXM974@MNXD1	3.5.1.1	P0A962	sabiorkR:11670	B	nan
MNXR130704	1 MNXM126861@MNXD1 + 1 MNXM1@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM126862@MNXD1 + 1 MNXM729302@MNXD1	3.5.1.1	P0A962	sabiorkR:11676	B	nan
MNXR130705	1 MNXM145229@MNXD1 + 1 MNXM1@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM728492@MNXD1 + 1 MNXM729302@MNXD1	3.5.1.1	P0A962	sabiorkR:11677	B	nan
MNXR130846	1 MNXM127853@MNXD1 + 1 MNXM1@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM727794@MNXD1 + 1 MNXM729302@MNXD1	3.5.1.1	P0A962	sabiorkR:11845	B	nan
MNXR131282	1 MNXM1108206@MNXD1 + 1 MNXM16857@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM168098@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	sabiorkR:12390	B	nan
MNXR131381	1 MNXM164369@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM304@MNXD1 <=> 1 MNXM167329@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	sabiorkR:12508	B	nan
MNXR131904	1 MNXM1106761@MNXD1 + 1 MNXM1108206@MNXD1 + 1 MNXM1@MNXD1 <=> 1 MNXM167136@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	sabiorkR:13274	B	nan
MNXR131905	1 MNXM1108206@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM737787@MNXD1 <=> 1 MNXM727264@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	sabiorkR:13275	B	nan
MNXR133687	1 MNXM165988@MNXD1 + 1 WATER@MNXD1 <=> 1 MNXM166528@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM737265@MNXD1	3.5.1.1	P0A962	sabiorkR:8105	B	nan
MNXR133691	1 MNXM1@MNXD1 + 1 MNXM26@MNXD1 + 1 MNXM728337@MNXD1 <=> 1 MNXM63510@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	sabiorkR:8111	B	nan
MNXR133698	1 MNXM1@MNXD1 + 1 MNXM26@MNXD1 + 1 MNXM76@MNXD1 <=> 1 MNXM63521@MNXD1 + 1 WATER@MNXD1	3.5.1.1	P0A962	sabiorkR:8118	B	nan
