KO_EC_NUMBER	Silhouette_Index
K00872-[EC:2.7.1.39]	0.06
K16793-[EC:4.2.1.114]	0.14
K11441-[EC:2.7.1.13]	0.03
K06151-[EC:1.1.99.3]	0.12
K19068-[EC:1.1.1.367]	0.11
K17476-[EC:1.14.19.8]	0.01
K00074-[EC:1.1.1.157]	0.04
K03777-[EC:1.1.5.12]	0.11
K00384-[EC:1.8.1.9]	0.08
K19285-[EC:1.5.1.38]	0.13
K02117-[EC:7.2.2.1]	0.1
K00013-[EC:1.1.1.23]	0.07
K01474-[EC:3.5.2.14]	0.06
K00366-[EC:1.7.7.1]	0.03
K15921-[EC:3.2.1.55]	0.06
K15866-[EC:5.3.3.18]	-0.01
K10011-[EC:2.1.2.13]	0.03
K21268-[EC:2.5.1.82]	0.01
K06897-[EC:2.5.1.105]	0.05
K01653-[EC:2.2.1.6]	0.11
K02527-[EC:2.4.99.15]	-0.01
K22278-[EC:3.5.1.104]	-0.05
K03428-[EC:2.1.1.11]	0.06
K01408-[EC:3.4.24.56]	0.23
K14606-[EC:5.5.1.19]	0.07
K01711-[EC:4.2.1.47]	0.01
K01611-[EC:4.1.1.50]	0.05
K20458-[EC:6.2.1.37]	0.27
K08282-[EC:2.7.11.1]	0.07
K10563-[EC:4.2.99.18]	0.03
K01186-[EC:3.2.1.18]	-0.01
K01816-[EC:5.3.1.22]	0.14
K21610-[EC:6.3.3.7]	0.28
K01433-[EC:3.5.1.10]	0.01
K22027-[EC:1.14.13.235]	0.03
K08475-[EC:2.7.13.3]	0.33
K08264-[EC:1.8.98.1]	0.46
K00903-[EC:2.7.10.2]	-0.14
K00840-[EC:2.6.1.81]	0.12
K22026-[EC:2.7.1.73]	0.07
K21377-[EC:2.1.1.302]	0.15
K00297-[EC:1.5.1.20]	0.04
K01101-[EC:3.1.3.41]	0.09
K15984-[EC:2.1.1.242]	0.19
K04566-[EC:6.1.1.6]	0.17
K16050-[EC:3.7.1.17]	0.22
K00672-[EC:2.3.1.101]	0.01
K16157-[EC:1.14.13.25]	0.39
K03540-[EC:3.1.26.5]	0.04
K15941-[EC:1.13.12.22]	0.22
K11191-[EC:2.7.1.192]	-0.03
K23270-[EC:6.3.5.3]	0.05
K11710-[EC:7.2.2.5]	0.14
K02303-[EC:2.1.1.107]	0.08
K00937-[EC:2.7.4.1]	0.14
K10677-[EC:4.2.2.17]	0.04
K20616-[EC:2.5.1.150]	0.26
K00859-[EC:2.7.1.24]	0.02
K03802-[EC:6.3.2.29]	0.08
K11520-[EC:2.7.13.3]	-0.0
K18649-[EC:3.1.3.15]	0.23
K17760-[EC:1.1.9.1]	0.01
K02591-[EC:1.18.6.1]	0.06
K05996-[EC:3.4.17.18]	0.07
K07698-[EC:2.7.13.3]	0.17
K00954-[EC:2.7.7.3]	0.09
K04103-[EC:4.1.1.74]	0.13
K00030-[EC:1.1.1.41]	0.07
K22957-[EC:2.3.1.184]	0.1
K22251-[EC:1.1.1.6]	-0.14
K00335-[EC:7.1.1.2]	0.1
K00147-[EC:1.2.1.41]	-0.01
K09835-[EC:5.2.1.13]	0.18
K13853-[EC:5.4.99.5]	0.03
K00901-[EC:2.7.1.107]	-0.02
K15942-[EC:2.1.1.288]	0.01
K01502-[EC:3.5.5.7]	0.01
K01428-[EC:3.5.1.5]	0.1
K03396-[EC:4.4.1.22]	0.01
K21138-[EC:3.1.7.2]	0.02
K01725-[EC:4.2.1.104]	0.03
K08246-[EC:5.5.1.9]	-0.0
K08289-[EC:2.1.2.2]	0.01
K15531-[EC:3.2.1.156]	0.06
K18096-[EC:2.3.1.228]	-0.0
K13788-[EC:2.3.1.8]	0.12
K00376-[EC:1.7.2.4]	0.11
K18779-[EC:2.4.2.48]	0.11
K01665-[EC:2.6.1.85]	0.02
K05580-[EC:7.1.1.2]	-0.26
K01761-[EC:4.4.1.11]	-0.01
K07053-[EC:3.1.3.97]	0.09
K22968-[EC:2.3.1.184]	0.06
K06443-[EC:5.5.1.19]	0.04
K00885-[EC:2.7.1.60]	0.11
K10206-[EC:2.6.1.83]	0.04
K14469-[EC:1.3.1.84]	0.39
K10038-[EC:7.4.2.1]	0.0
K07067-[EC:2.7.7.85]	0.03
K00765-[EC:2.4.2.17]	0.08
K01506-[EC:3.5.1.30]	0.06
K19002-[EC:2.4.1.337]	0.03
K11438-[EC:2.1.1.321]	-0.02
K18473-[EC:2.3.1.180]	0.1
K21721-[EC:1.5.1.51]	0.2
K03469-[EC:3.1.26.4]	0.0
K00927-[EC:2.7.2.3]	-0.04
K22099-[EC:6.3.2.17]	0.32
K21898-[EC:5.1.1.12]	0.06
K01751-[EC:4.3.1.15]	0.1
K08322-[EC:1.1.1.380]	0.18
K05797-[EC:1.17.9.1]	0.06
K16047-[EC:1.14.14.12]	0.12
K02257-[EC:2.5.1.141]	0.06
K20547-[EC:3.2.1.14]	0.3
K02817-[EC:2.7.1.201]	-0.0
K01959-[EC:6.4.1.1]	0.14
K14680-[EC:6.5.1.3]	0.06
K20927-[EC:1.1.1.400]	0.11
K13930-[EC:2.4.2.52]	0.07
K00428-[EC:1.11.1.5]	0.02
K11263-[EC:6.4.1.2]	0.02
K23416-[EC:2.3.1.284]	0.22
K03752-[EC:2.7.7.77]	0.12
K19997-[EC:5.1.3.26]	0.07
K06167-[EC:3.1.4.55]	0.07
K00007-[EC:1.1.1.11]	0.13
K05351-[EC:1.1.1.9]	0.24
K22319-[EC:6.1.3.1]	0.04
K01909-[EC:6.2.1.20]	0.01
K18020-[EC:1.2.99.8]	0.01
K03182-[EC:4.1.1.98]	0.1
K00009-[EC:1.1.1.17]	0.12
K19551-[EC:4.2.2.2]	0.08
K13693-[EC:2.4.1.266]	0.04
K00931-[EC:2.7.2.11]	0.1
K04782-[EC:4.2.99.21]	0.08
K16214-[EC:2.7.1.176]	0.28
K02438-[EC:3.2.1.196]	0.37
K20421-[EC:2.1.1.303]	0.06
K01729-[EC:4.2.2.3]	0.05
K01593-[EC:4.1.1.105]	0.07
K20331-[EC:2.1.1.349]	0.03
K09516-[EC:1.3.99.23]	0.02
K13498-[EC:4.1.1.48]	0.25
K10277-[EC:1.14.11.27]	-0.03
K22215-[EC:1.1.1.48]	0.05
K02488-[EC:2.7.7.65]	0.04
K07229-[EC:1.16.1.9]	-0.02
K22606-[EC:1.1.1.391]	0.61
K16878-[EC:1.3.99.8]	0.12
K20814-[EC:3.5.1.119]	0.07
K02276-[EC:1.9.3.1]	0.01
K04073-[EC:1.2.1.10]	0.12
K01337-[EC:3.4.21.50]	0.0
K21681-[EC:2.7.7.40]	0.09
K11065-[EC:1.11.1.15]	0.03
K00227-[EC:1.14.19.20]	-0.2
K21578-[EC:1.21.4.4]	-0.09
K18827-[EC:2.7.1.181]	-0.03
K01159-[EC:3.1.22.4]	0.06
K11816-[EC:1.14.13.168]	0.01
K01487-[EC:3.5.4.3]	0.1
K12661-[EC:4.2.1.90]	-0.08
K17880-[EC:2.7.1.119]	0.03
K18118-[EC:2.8.3.18]	0.06
K00348-[EC:7.2.1.1]	0.06
K01875-[EC:6.1.1.11]	0.01
K03389-[EC:1.8.98.6]	0.14
K00151-[EC:1.2.1.60]	0.36
K16317-[EC:2.1.1.257]	0.08
K01777-[EC:5.1.1.4]	0.11
K00982-[EC:2.7.7.42]	0.04
K21071-[EC:2.7.1.11]	0.07
K09457-[EC:1.7.1.13]	0.04
K02527-[EC:2.4.99.13]	-0.01
K01923-[EC:6.3.2.6]	0.03
K03170-[EC:3.6.4.12]	-0.0
K01118-[EC:1.7.1.17]	0.01
K05552-[EC:2.3.1.235]	-0.0
K13038-[EC:4.1.1.36]	0.02
K16843-[EC:1.1.1.310]	0.11
K00175-[EC:1.2.7.3]	-0.03
K00274-[EC:1.4.3.4]	0.14
K00658-[EC:2.3.1.61]	0.01
K07248-[EC:1.2.1.22]	0.05
K01032-[EC:2.8.3.6]	0.03
K00762-[EC:2.4.2.10]	0.04
K21678-[EC:2.5.1.103]	0.22
K01560-[EC:3.8.1.2]	0.08
K01856-[EC:5.5.1.1]	0.05
K21355-[EC:2.4.1.332]	-0.05
K22349-[EC:1.16.3.3]	0.16
K10676-[EC:1.14.13.20]	-0.01
K11333-[EC:1.3.7.15]	-0.22
K01947-[EC:2.7.1.33]	-0.41
K07316-[EC:2.1.1.72]	-0.04
K21024-[EC:3.1.4.52]	-0.19
K18603-[EC:6.4.1.3]	0.74
K00355-[EC:1.6.5.2]	0.01
K03536-[EC:3.1.26.5]	0.07
K22180-[EC:1.1.98.4]	0.01
K22082-[EC:2.1.1.21]	-0.02
K02433-[EC:6.3.5.7]	-0.02
K21310-[EC:2.1.1.334]	0.09
K03040-[EC:2.7.7.6]	0.07
K01744-[EC:4.3.1.1]	0.05
K00605-[EC:2.1.2.10]	0.06
K01457-[EC:3.5.1.54]	0.08
K18119-[EC:1.2.1.76]	-0.04
K13421-[EC:2.4.2.10]	0.08
K03186-[EC:2.5.1.129]	-0.02
K00240-[EC:1.3.5.4]	0.07
K16436-[EC:2.6.1.106]	-0.17
K10187-[EC:4.2.3.75]	0.01
K16217-[EC:2.1.1.255]	-0.05
K15629-[EC:1.11.2.4]	0.05
K05947-[EC:2.4.1.217]	0.04
K22580-[EC:3.1.1.103]	0.27
K03199-[EC:7.4.2.8]	-0.02
K00993-[EC:2.7.8.1]	0.17
K21420-[EC:2.3.2.29]	0.09
K03465-[EC:2.1.1.148]	0.01
K18012-[EC:1.4.1.11]	0.15
K01001-[EC:2.7.8.15]	-0.01
K00621-[EC:2.3.1.4]	-0.08
K00832-[EC:2.6.1.57]	0.08
K00833-[EC:2.6.1.62]	0.06
K18277-[EC:1.14.13.148]	0.12
K09759-[EC:6.1.1.23]	0.05
K01029-[EC:2.8.3.5]	0.08
K18910-[EC:5.1.3.31]	0.03
K16423-[EC:2.6.1.103]	-0.03
K01704-[EC:4.2.1.33]	0.02
