Entry	EC number
P0AE70	3.1.27.-
P0ACF8	
P0A910	
P06616	
P69913	
P0AFX7	
P23837	2.7.13.3; 3.1.3.-
P0A9A6	
P0AE72	
P0AE82	2.7.13.3
P0AGB6	
P0AFZ5	
P42641	3.6.5.-
P0AAI3	3.4.24.-
P0AEV1	
Q46865	3.1.-.-
P23874	2.7.11.1
P0DTT0	3.6.5.-
P0A940	
P69776	
P0C077	3.1.-.-
P0AEH1	3.4.24.-
P76129	3.1.4.52
P0C0V0	3.4.21.107
P0ABG4	2.4.1.129
P69910	4.1.1.15
P56976	
P0A6E9	6.3.3.3
P0AE63	
P0AE89	
P30192	
P27294	
P0AB74	4.1.2.40
C4ZR44	
P0AD86	
P0ADF3	
P65435	
P0A794	2.6.99.2
P0A797	2.7.1.11
C5A083	2.7.1.11
B1XB82	2.7.1.11
P0A796	2.7.1.11
P77366	5.4.2.6
P58473	3.4.11.23
C4ZX98	3.4.11.23
B1XAZ8	3.4.11.23
P37095	3.4.11.23
P36938	5.4.2.2
Q8XBL0	2.7.1.35
P24207	
C4ZVU9	2.7.1.35
B1XA89	2.7.1.35
P40191	2.7.1.35
P15288	3.4.13.18
P0A7C7	3.4.13.21
C5A0V8	3.4.13.21
B1XC20	3.4.13.21
P0A7C6	3.4.13.21
P69435	
P69434	
Q8XAR3	3.5.1.-
P75906	3.5.1.-
Q8XAR5	2.4.1.-
P75905	2.4.1.-
P69433	
P77528	
P69432	
P25906	1.1.1.65
Q8X8I1	3.4.13.9
C5A021	3.4.13.9
B1XAK9	3.4.13.9
P21165	3.4.13.9
Q8X647	1.4.3.5
C4ZYA1	1.4.3.5
B1XFV0	1.4.3.5
P0AFI7	1.4.3.5
P60782	2.3.1.15; 2.3.1.n5
P65804	3.4.11.4
C4ZS67	3.4.11.4
B1XA37	3.4.11.4
P29745	3.4.11.4
P58713	1.1.1.262
C4ZPX8	1.1.1.262
B1XC53	1.1.1.262
P19624	1.1.1.262
Q8XCR0	1.1.1.290
C4ZVL3	1.1.1.290
B1X931	1.1.1.290
P05459	1.1.1.290
P23842	3.1.4.52
P0ABF3	2.7.7.19
P77473	3.1.4.52
P0ABF1	2.7.7.19
P32701	3.1.4.52
P76261	3.1.4.52
P77172	3.1.4.52
P75995	3.1.4.52
P37646	3.1.4.52
P75800	3.1.4.52
P37649	3.1.4.52
P21514	3.1.4.52
P76446	3.1.4.52
P77334	3.1.4.52
Q47456	
P0ACM1	
P0ACL9	
Q8XD79	3.5.2.-
C5A0E6	3.5.2.-
B1XEG2	3.5.2.-
Q46806	3.5.2.-
P76002	
P65737	2.3.1.274
C4ZS30	2.3.1.274
B1XA00	2.3.1.274
P27247	2.3.1.274
P60784	2.3.1.15; 2.3.1.n5
C4ZQX6	2.3.1.15; 2.3.1.n5
B1XG64	2.3.1.15; 2.3.1.n5
P58130	2.3.1.15
C5A134	2.3.1.15
B1XC40	2.3.1.15
P0A7A7	2.3.1.15
P52647	1.2.7.-
P37590	
G3MTW7	
P0AC86	2.4.1.1
P23830	2.7.8.8
P77439	2.7.3.9; 2.7.1.202
Q8XBJ1	2.7.1.192
P69793	
B1XDJ0	6.3.4.2
B1XD78	3.1.26.4
C4ZYX7	
Q8XAT4	3.6.4.13
P39452	1.17.4.1
C4ZSR1	
P69924	1.17.4.1
B1XBY7	
C4ZSQ6	
P0A9T0	1.1.1.95; 1.1.1.399
B1XEB5	
B1X847	2.6.1.52
P30852	
B1X6J7	
P0A9E4	
B1XC95	4.1.1.50
P0A9V8	1.1.1.373; 1.1.1.61
P39902	
P0AGD9	
C4ZQ84	
B1XBU0	
P0A832	
P21507	3.6.4.13
P0ACA3	
B1XBX3	1.6.1.1
P00956	6.1.1.5
C4ZUX4	6.1.1.16
P0A8F9	
C4ZXV1	
B1X7A9	
P0A8F8	
P03018	3.6.4.12
Q8X9U6	
P66798	
P0AED5	
P42604	4.2.1.7
P0A6L8	1.1.1.58
C4ZWT8	1.1.1.58
P0A6L7	1.1.1.58
P42597	3.6.1.-
Q8X9U5	
P60474	2.5.1.31
P60472	2.5.1.31
P43672	3.6.1.-
Q8XAI7	5.3.1.12
C4ZR08	5.3.1.12
B1XG96	5.3.1.12
P0A8G3	5.3.1.12
Q8X5U9	
P0A698	
Q8XEG9	4.2.1.8
C4ZT10	4.2.1.8
P24215	4.2.1.8
Q8X560	
P46888	
P67090	
P0AAB8	
P0AAC2	
P0A8F2	2.4.2.9
P0AAC0	
C4ZX73	2.4.2.9
B1XAX3	2.4.2.9
P0A4P7	
P37903	
P0A8F0	2.4.2.9
Q8XBT3	
P39177	
C4ZS05	
P32716	
C4ZRZ3	
C4ZQ89	4.2.3.3
P38051	5.4.4.2
P16384	2.5.1.75
P64606	
C4ZS91	
B1XA61	
P13669	
P28224	
C4ZQ48	
C4ZZD4	1.8.4.12
P46022	2.4.1.129
C4ZSU7	2.4.1.129
Q8XBJ3	
C4ZVV8	
P0A9I6	
P58057	2.7.1.23
P68739	3.1.21.7
C4ZW30	
Q8X5S3	
P0AC67	
C4ZYS6	
C5A0T7	3.6.1.-; 3.6.1.22
B1X9G2	
P62517	2.4.1.-
B1XHF9	3.6.5.-
P0AFE2	7.1.1.-
P0A782	
P33599	7.1.1.-
P0AFC3	7.1.1.-
P09546	1.5.5.2; 1.2.1.88
P76079	
P0AFJ0	
P77756	6.3.4.20
P60241	3.6.4.-
C4ZPY3	3.6.4.-
P60240	3.6.4.-
P06999	2.7.1.11
Q8XCZ0	3.1.-.-
C4ZUB1	3.1.-.-
P0A8V0	3.1.-.-
P0A896	
C4ZSU4	
B1XHI0	
P13960	
P0A894	
P0AAZ6	
P0AAZ4	
P27844	
P0A795	2.6.99.2
P0A7G4	
C4ZSQ8	
B1XGX9	
P0A7G2	
Q8X6S9	1.7.1.13
C4ZZU9	1.7.1.13
B1XDK3	1.7.1.13
P16678	
Q8X738	
P16688	4.7.1.1
P25889	1.3.1.1
C4ZUH4	
B1X6H0	
Q8X7W6	2.1.1.181
P22564	3.2.-.-
P27127	2.4.1.-
Q8X3T0	
P0AFW8	
P0AFW0	
P0A946	2.3.1.266
P25742	2.-.-.-
C4ZUS6	
P05824	
P0ADY3	
P0C018	
C4ZUG7	
B1X9T1	
P0A7M4	
P0A7P1	
C4ZWC3	2.1.1.177
P13445	
P46849	6.5.1.4
P38105	1.1.1.-
Q8XCB3	6.1.1.9
P67589	6.1.1.2
